district,2022,2023,2024,2025
璧山区,1,0.5,0.25,0
大渡口区,0.944997074,0.874488005,0.728203628,0.493270919
合川区,0.814538677,0.596458527,0.256290774,0.132339236
江北区,0.884954058,0.717075038,0.582503828,0.303215926
黔江区,1,1,0.5,0
万州区,0.944537463,0.866889912,0.77626622,0.562578485
渝北区,0.933659902,0.841987404,0.654723583,0.411056683
渝中区,0.891382406,0.646768402,0.46454219,0.242369838
