district,2022,2023,2024,2025
昌平区,2171,2034,1749,1209
朝阳区,11252,10542,10257,9717
大兴区,3693,3428,3045,2096
房山区,3210,3031,2766,1980
丰台区,1930,1823,1613,1171
海淀区,2579,2442,2066,981
石景山区,2757,2583,2247,1650
通州区,3009,2860,2543,1820
